car_number,color,time,text,handle,user_id,tweet_id
1001,RED,2013-05-28T12:39:54+00:00,"Was just on metro hot car #1001 (red line), and let me tell you-nobody was looking to make a love connection. @fixwmata @wmata",CarChickMWB,18249348,339360382302949376
1188,RED,2013-05-28T12:50:53+00:00,"@FixWMATA @unsuckdcmetro @wmata RL #HotCar 1188, no air flow. =(",DiavoJinx,403520304,339363145795653632
1068,GREEN,2013-05-28T21:06:20+00:00,"oh good, another hot car on the metro. green line to greenbelt, no. 1068   #wmata #hotcar @unsuckdcmetro @FixWMATA @wmata",lexilooo,16174883,339487827479908353
2066,ORANGE,2013-05-28T21:15:23+00:00,"#HotCar 2066 on OL to New Carrollton.  Air is flowing but it's muggy, warm air. More comfortable outside. @FixWMATA @wmata @unsuckdcmetro",TheHornGuy,40506740,339490107864276992
1043,BLUE,2013-05-28T22:08:07+00:00,Car 1043 on the blue line heading to Largo is a sauna...I mean #hotcar #wmata,jessydumpling,263763147,339503377618718720
1168,ORANGE,2013-05-28T22:16:02+00:00,"@wmata Train 1168 on orange is a hot car, reported to operator but seemed mostly unconcerned. Anything else I can do?",AnOwlbear,89996958,339505371032977408
1116,RED,2013-05-28T22:56:31+00:00,@FixWMATA hot car 1116 redline to shady grove 6:55pm @wmata (not hot in a good way),jndcx,140293264,339515558762532864
1055,YELLOW,2013-05-29T12:04:43+00:00,Car 1055 yl to Mt Vernon is a #hotcar @wmata cc: @FixWMATA,fraggedears,41731513,339713916697468928
1295,RED,2013-05-29T12:57:44+00:00,"It begins. @wmata: 1295, currently on the red line glenmont-bound from Dupont, is a #hotcar.",museums365,104712772,339727258212245506
1005,NONE,2013-05-29T13:29:38+00:00,@wmata car 1005 is a hotcar,christineruffo,63503472,339735282884685825
1067,NONE,2013-05-29T14:07:25+00:00,Get it together WMATA! #hotcar 1067,Stalkeratzi,173337437,339744794857332736
1152,RED,2013-05-29T19:48:07+00:00,#hotcar #wmata 1152 red line glenmont,iamdaninphilly,44376442,339830531640418305
1081,RED,2013-05-29T20:13:25+00:00,@wmata car 1081 red line-glenmont bound #hotcar,jennygolightly,41221990,339836901131440128
1043,YELLOW,2013-05-29T21:31:03+00:00,@wmata #hotcar 1043 yellow line to Franconia,josephwrichards,74830296,339856437306073088
5082,ORANGE,2013-05-29T21:50:17+00:00,@wmata @unsuckdcmetro 5082 HOT HOT HOT CAR NC-bound orange,Rukasu1,29864400,339861279118356480
1207,RED,2013-05-29T22:02:53+00:00,Hot car #1207 red line to shady grove #unsuckdcmetro #wmata #dcrider,apporima,28016897,339864447134859264
1152,RED,2013-05-29T22:29:06+00:00,"""@iamdanindc: #hotcar #wmata 1152 red line glenmont"" sitting in same car. Still not fixed.",bensun,17835417,339871044452114432
1207,NONE,2013-05-29T23:26:48+00:00,"@unsuckdcmetro @wmata Metro car no. 1207 is hot, hot, hot. #maintenance",mrkisiele614,577783439,339885566936100864
1124,RED,2013-05-30T12:37:17+00:00,@FixWMATA #hotcar 1124 leaving Silver Spring @wmata,europamo,14469227,340084498987356160
6169,RED,2013-05-30T19:31:48+00:00,Red Line #6169 #hotcar #wmata,theprez98,15652014,340188812917477376
3355,ORANGE,2013-05-30T20:19:40+00:00,@wmata today officially opens #hotcar season. Car 3355? on Orange line to Vienna. First car. Just left foggy bottom.,cubman10,18974656,340200862590857217
6063,NONE,2013-05-30T20:27:21+00:00,Run to catch the train and BOOM #hotcar. Thanks @wmata. (Car 6063),MercuryZero,17970985,340202792662736896
3089,YELLOW,2013-05-30T20:32:04+00:00,@wmata HotCar 3089. Yellow Line to Greenbelt,GrahamCC,15693692,340203982230282240
1033,ORANGE,2013-05-30T20:38:21+00:00,"@unsuckdcmetro @roadtohell Absurd! Sunshine is good disinfectant. BTW, orange line car 1033 is a #hotcar @MetroForward @wmata",jondagle,18710144,340205562614669313
