unit_id,station_code,station_name,station_desc,esc_desc,unit_type
"G03X01ESCALATOR","G03","ADDISON ROAD-SEAT PLEASANT","","Escalator between mezzanine and platform","ESCALATOR"
"F06N02ESCALATOR","F06","ANACOSTIA","Kiss & Ride Entrance","Escalator between mezzanine and platform","ESCALATOR"
"F02X04ESCALATOR","F02","ARCHIVES-Navy Memorial","","Escalator between mezzanine and platform","ESCALATOR"
"C06X05ESCALATOR","C06","ARLINGTON CEMETERY","","Escalator between mezzanine and platform to Franconia-Springfield","ESCALATOR"
"C06X06ESCALATOR","C06","ARLINGTON CEMETERY","","Escalator between mezzanine and platform to Largo Town Center","ESCALATOR"
"K04X02ESCALATOR","K04","BALLSTON-MU","","Escalator between street and middle landing","ESCALATOR"
"K04X04ESCALATOR","K04","BALLSTON-MU","","Escalator between middle landing and mezzanine","ESCALATOR"
"K04X05ESCALATOR","K04","BALLSTON-MU","","Escalator between middle landing and mezzanine","ESCALATOR"
"K04X06ESCALATOR","K04","BALLSTON-MU","","Escalator between middle landing and mezzanine","ESCALATOR"
"K04X07ESCALATOR","K04","BALLSTON-MU","","Escalator between mezzanine and platform to New Carrollton","ESCALATOR"
"K04X08ESCALATOR","K04","BALLSTON-MU","","Escalator between mezzanine and platform to New Carrollton","ESCALATOR"
"K04X10ESCALATOR","K04","BALLSTON-MU","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"K04X11ESCALATOR","K04","BALLSTON-MU","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"K04X12ESCALATOR","K04","BALLSTON-MU","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"G02X02ESCALATOR","G02","CAPITOL HEIGHTS","","Escalator between street and mezzanine","ESCALATOR"
"G02X04ESCALATOR","G02","CAPITOL HEIGHTS","","Escalator between mezzanine and platform","ESCALATOR"
"G02X05ESCALATOR","G02","CAPITOL HEIGHTS","","Escalator between mezzanine and platform","ESCALATOR"
"D05X04ESCALATOR","D05","CAPITOL SOUTH","","Escalator between mezzanine and platform","ESCALATOR"
"D05X05ESCALATOR","D05","CAPITOL SOUTH","","Escalator between mezzanine and platform","ESCALATOR"
"D11X01ESCALATOR","D11","CHEVERLY","","Escalator between street and mezzanine","ESCALATOR"
"D11X03ESCALATOR","D11","CHEVERLY","","Escalator between mezzanine and platform to New Carrollton","ESCALATOR"
"D11X04ESCALATOR","D11","CHEVERLY","","Escalator between mezzanine and platform to New Carrollton","ESCALATOR"
"D11X05ESCALATOR","D11","CHEVERLY","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"D11X06ESCALATOR","D11","CHEVERLY","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"K02X03ESCALATOR","K02","CLARENDON","","Escalator between middle landing/tunnel and mezzanine","ESCALATOR"
"K02X04ESCALATOR","K02","CLARENDON","","Escalator between middle landing/tunnel and mezzanine","ESCALATOR"
"K02X05ESCALATOR","K02","CLARENDON","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
"K02X06ESCALATOR","K02","CLARENDON","","Escalator between mezzanine and platform to Vienna","ESCALATOR"
